scaffold1	scaffold2	connections
24996	5111	1
10738	3830	3
12592	12592	17
1031	43196	6
21065	4623	16
67047	76037	2
2788	39948	2
36494	60028	1
15077	55499	3
31561	46456	12
75597	76027	2
39808	96849	1
14421	27775	4
71640	73586	1
18859	41792	4
20870	35474	3
23190	2918	11
65062	6632	4
38308	43525	6
1014	1015	6
64197	64221	4
22055	4050	15
22070	25097	2
85336	87349	1
84096	87275	1
29582	42760	1
10795	13511	24
69906	69924	4
14657	47475	2
2189	2190	16
48926	81402	3
70124	82762	2
59223	68763	3
3418	5167	8
28280	48976	74
29473	5822	3
45592	54173	3
21286	9310	5
7146	7147	9
19032	43168	2
58077	62668	5
28458	5286	17
23019	3310	9
2814	6683	2
13679	30057	2
37546	97158	1
28413	9143	2
31944	53047	1
11244	21756	1
79853	82435	1
23748	446	1
28198	6936	8
14459	49627	39
27126	33966	98
1402	46747	1
61578	83029	2
74075	85825	2
42207	56943	1
81012	91244	2
14596	5039	5
23461	52517	6
13764	3065	1
16567	8474	9
47366	69209	5
10124	14476	2
51089	58728	1
14423	39185	1
95564	96966	1
19429	36089	6
20894	39331	2
13186	1824	4
135	8950	8
69902	71136	4
25819	31318	2
19315	34618	3
56414	9962	8
24894	25624	8
30751	321	11
15224	6191	21
14005	51547	6
30284	40401	1
13963	50509	1
10853	6459	8
33493	47473	60
1829	3368	12
16681	17156	5
3996	581	28
28474	54424	1
23568	3774	1
14016	29331	7
2163	25988	17
12375	9339	55
35581	62506	7
60046	62579	1
10812	18775	196
28764	35905	4
3334	8155	6
29530	29531	1
15945	26796	10
1893	7145	12
14881	14908	6
68825	88874	3
12424	32632	6
21145	3574	7
71923	80517	1
67854	79539	2
26601	54405	101
20057	66944	2
17440	24748	11
12955	22859	10
81935	86120	2
14595	18366	6
10352	5283	1
5129	5130	3
28710	55272	1
11698	12463	2
31379	8607	1
64740	66346	1
13524	4142	35
13911	3190	2
23386	25520	5
21771	59622	11
1644	26423	1
26342	718	2
26032	47266	1
39783	54275	8
12680	45493	1
14767	27252	2
63456	92057	1
20486	61472	67
35603	40511	7
11523	4572	88
31055	51769	5
40546	54014	9
36980	64072	1
73675	76149	1
233	4235	125
17115	42177	5
85590	93228	2
15964	37736	24
31954	3331	2
22390	25314	5
18334	19776	14
32496	49423	47
14020	2804	1
13307	26801	3
10561	7221	7
54236	61286	210
32704	44249	1
39105	42659	2
2410	34214	8
43803	50393	2
6550	9642	17
5430	8459	9
11191	15137	10
19118	33374	1
11794	31523	1
16627	25632	8
18718	18719	4
25540	45117	2
34219	36321	21
25927	4581	4
2292	39279	1
912	9986	4
50061	50062	5
19592	24766	32
22875	5694	1
40145	47728	4
84817	89846	3
26782	3444	1
48091	54238	5
42911	53815	8
13440	4922	22
13017	7097	8
21689	39018	10
72415	73488	4
74060	76577	3
1964	5323	30
49379	982	115
22504	35497	38
16801	16802	16
49790	70478	1
13526	26491	3
12482	34	2
88051	90481	1
20768	46855	53
10435	14847	3
22350	65128	11
47416	49627	6
19621	57269	1
61657	65797	5
