scaffold1	scaffold2	connections
16334	8454	1
55845	6173	1
39986	48472	2
14006	1655	4
3769	8052	1
12143	21299	6
11763	23	1
13565	7965	3
17999	55549	2
19870	2685	6
12235	58039	1
22394	45564	5
19794	35944	3
16041	46091	1
15084	18879	14
17595	23542	2
34791	64596	1
32162	40023	1
6757	6876	1
40458	41041	1
1003	33863	3
1554	6358	1
19319	37340	2
19584	7132	3
16606	39	1
20873	36941	1
17025	4826	1
22691	4739	1
11984	24783	5
27874	930	1
25586	6239	1
12326	675	1
11357	3945	1
23389	61198	2
30856	54425	3
20620	421	12
10742	15092	1
1227	16684	1
12734	24088	9
25133	30981	1
13935	27100	2
13719	2382	2
16627	46607	7
16931	17550	1
10608	46646	1
1361	5500	1
13561	1768	9
10320	16233	1
20487	29628	1
11892	15535	5
15841	9705	1
46334	70999	1
10218	57614	1
59339	9674	1
2164	5299	6
29919	57821	1
31530	44192	2
13569	14628	1
3958	5453	1
19795	3828	1
32561	894	1
29686	41040	3
23104	9366	1
24343	3148	6
16125	16126	4
37935	44601	6
26925	30433	3
11752	20221	4
24941	34208	7
1499	1500	19
5861	7667	1
14523	7005	1
42482	44248	1
23305	7086	7
3301	37806	1
26702	32802	1
70463	7699	1
24964	45000	1
37456	41387	6
1799	24721	1
10090	10921	3
3269	7035	1
31976	4774	4
36864	54837	1
15003	37471	1
13349	2895	3
2955	5114	4
1069	45614	1
11440	1457	5
1608	17417	4
12792	32953	3
3005	4744	1
45888	52518	2
31088	7071	5
4137	47947	5
19442	6624	1
33657	6358	14
1188	13153	23
14979	6929	2
34427	47781	2
24950	33716	1
10476	42099	1
32673	34144	2
39909	45072	1
5430	7858	1
2751	4995	60
23541	59693	1
28014	5456	2
1601	7664	4
13190	2652	1
19287	5121	33
21574	2221	1
20471	43850	5
52526	66017	1
14217	57160	1
219	2450	5
10738	3830	4
25177	34767	1
16871	7877	1
10478	4393	18
28602	36687	4
16336	236	1
43336	7779	1
11331	24825	1
19608	19609	1
28885	553	1
13306	2603	2
16757	46598	1
13667	4227	1
17841	20065	1
11623	9176	4
31561	46456	1
45318	45319	2
14446	2731	8
3442	6723	1
20870	35474	2
32316	32317	3
50153	50154	2
10416	23327	1
10237	15654	8
1014	1015	2
41710	8581	4
22070	25097	4
31414	642	1
1299	23894	2
2881	8556	2
12224	6664	1
17193	5309	1
42521	983	2
36328	39278	1
23899	4846	1
15681	52523	1
6146	7164	3
34648	62054	1
5353	708	1
11818	652	7
22629	26594	2
11590	34733	1
57460	59044	2
29785	32494	2
2484	2486	8
14404	20610	1
21286	9310	1
7146	7147	31
19032	43168	3
14035	5180	6
